org_id remap_id freebase_id
1526 5 http://dbpedia.org/resource/Fathers'_Day_(film)
761 7 http://dbpedia.org/resource/The_Phantom_of_the_Opera_(1925_film)
1080 9 http://dbpedia.org/resource/Monty_Python's_Life_of_Brian
704 16 http://dbpedia.org/resource/The_Quest_(film)
2965 29 http://dbpedia.org/resource/The_Omega_Code
2393 31 http://dbpedia.org/resource/Star_Trek:_Insurrection
664 34 http://dbpedia.org/resource/Faithful
3325 38 http://dbpedia.org/resource/The_Next_Best_Thing
2103 40 http://dbpedia.org/resource/Tall_Tale_(film)
256 47 http://dbpedia.org/resource/Junior_(1994_film)
2475 54 http://dbpedia.org/resource/52_Pick-Up
3612 61 http://dbpedia.org/resource/The_Slipper_and_the_Rose
3589 62 http://dbpedia.org/resource/Kill,_Baby,_Kill
2347 85 http://dbpedia.org/resource/The_Pope_of_Greenwich_Village
1250 87 http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai
764 89 http://dbpedia.org/resource/Heavy_(film)
1052 91 http://dbpedia.org/resource/The_Proprietor
2471 95 http://dbpedia.org/resource/%22Crocodile%22_Dundee_II
663 97 http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy
423 101 http://dbpedia.org/resource/Blown_Away_(1994_film)
177 103 http://dbpedia.org/resource/Lord_of_Illusions
1256 106 http://dbpedia.org/resource/Duck_Soup_(1933_film)
3513 108 http://dbpedia.org/resource/Rules_of_Engagement_(film)
937 115 http://dbpedia.org/resource/Love_in_the_Afternoon_(1957_film)
84 116 http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
3603 118 http://dbpedia.org/resource/The_Gay_Deceivers
1552 119 http://dbpedia.org/resource/Con_Air
1066 126 http://dbpedia.org/resource/Shall_We_Dance_(1937_film)
3401 134 http://dbpedia.org/resource/Baby:_Secret_of_the_Lost_Legend
2955 135 http://dbpedia.org/resource/Penitentiary_II
2392 141 http://dbpedia.org/resource/Jack_Frost_(1998_film)
864 145 http://dbpedia.org/resource/The_Time_Traveler's_Wife_(film)
2110 150 http://dbpedia.org/resource/Dead_Men_Don't_Wear_Plaid
2844 152 http://dbpedia.org/resource/The_Minus_Man
2895 160 http://dbpedia.org/resource/Napoleon_and_Samantha
1257 165 http://dbpedia.org/resource/Better_Off_Dead_(film)
3723 174 http://dbpedia.org/resource/Hamlet_(1990_film)
1954 177 http://dbpedia.org/resource/Rocky
3151 180 http://dbpedia.org/resource/The_Bat_Whispers
1608 181 http://dbpedia.org/resource/Air_Force_One_(film)
3444 187 http://dbpedia.org/resource/Bloodsport_(film)
1057 189 http://dbpedia.org/resource/Everyone_Says_I_Love_You
2979 191 http://dbpedia.org/resource/Body_Shots
3675 194 http://dbpedia.org/resource/White_Christmas_(film)
3951 195 http://dbpedia.org/resource/Two_Family_House
1750 196 http://dbpedia.org/resource/Star_Kid
2241 198 http://dbpedia.org/resource/A_Touch_of_Class_(film)
307 202 http://dbpedia.org/resource/Three_Colors:_Blue
3022 203 http://dbpedia.org/resource/The_General_(1926_film)
733 204 http://dbpedia.org/resource/The_Rock_(film)
468 206 http://dbpedia.org/resource/The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain
1927 207 http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1930_film)
146 210 http://dbpedia.org/resource/The_Amazing_Panda_Adventure
160 218 http://dbpedia.org/resource/Congo_(film)
1289 239 http://dbpedia.org/resource/Koyaanisqatsi
931 242 http://dbpedia.org/resource/Spellbound_(1945_film)
238 252 http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
2723 253 http://dbpedia.org/resource/Mystery_Men
1659 254 http://dbpedia.org/resource/Hurricane_Streets
2973 269 http://dbpedia.org/resource/Crimes_and_Misdemeanors
2007 271 http://dbpedia.org/resource/Polish_Wedding
2288 283 http://dbpedia.org/resource/The_Thing_(1982_film)
1569 284 http://dbpedia.org/resource/My_Best_Friend's_Wedding
2658 286 http://dbpedia.org/resource/Flying_Saucer_Daffy
2662 291 http://dbpedia.org/resource/The_War_of_the_Worlds_(1953_film)
2173 293 http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey
1742 295 http://dbpedia.org/resource/Caught_Up_(film)
674 298 http://dbpedia.org/resource/Barbarella_(film)
1426 299 http://dbpedia.org/resource/Zeus_and_Roxanne
3531 300 http://dbpedia.org/resource/All_the_Vermeers_in_New_York
2501 302 http://dbpedia.org/resource/October_Sky
3798 318 http://dbpedia.org/resource/What_Lies_Beneath
141 319 http://dbpedia.org/resource/The_Birdcage
631 335 http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2
3443 345 http://dbpedia.org/resource/Born_American
153 355 http://dbpedia.org/resource/Batman_Forever
270 356 http://dbpedia.org/resource/Love_Affair_(1994_film)
2829 358 http://dbpedia.org/resource/The_Muse_(1999_film)
1263 371 http://dbpedia.org/resource/The_Deer_Hunter
2470 374 http://dbpedia.org/resource/%22Crocodile%22_Dundee
76 377 http://dbpedia.org/resource/Screamers_(1995_film)
458 379 http://dbpedia.org/resource/Geronimo:_An_American_Legend
352 388 http://dbpedia.org/resource/Crooklyn
548 390 http://dbpedia.org/resource/Terminal_Velocity_(film)
2073 395 http://dbpedia.org/resource/Fandango_(1985_film)
3564 399 http://dbpedia.org/resource/The_Flintstones_in_Viva_Rock_Vegas
3691 400 http://dbpedia.org/resource/Private_School_(film)
1939 401 http://dbpedia.org/resource/The_Best_Years_of_Our_Lives
3608 404 http://dbpedia.org/resource/Pee-wee's_Big_Adventure
1222 407 http://dbpedia.org/resource/Full_Metal_Jacket
1969 410 http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_2:_Freddy's_Revenge
1431 411 http://dbpedia.org/resource/Beverly_Hills_Ninja
2947 414 http://dbpedia.org/resource/Goldfinger_(film)
93 419 http://dbpedia.org/resource/Vampire_in_Brooklyn
233 422 http://dbpedia.org/resource/Exotica_(film)
1096 424 http://dbpedia.org/resource/Sophie's_Choice_(film)
3551 427 http://dbpedia.org/resource/Marathon_Man_(film)
2087 430 http://dbpedia.org/resource/Peter_Pan_(1953_film)
1355 433 http://dbpedia.org/resource/Nightwatch_(1997_film)
1967 435 http://dbpedia.org/resource/Labyrinth_(film)
1936 437 http://dbpedia.org/resource/Mrs._Miniver_(film)
2072 449 http://dbpedia.org/resource/The_'Burbs
800 458 http://dbpedia.org/resource/Lone_Star_(1996_film)
3041 459 http://dbpedia.org/resource/Meatballs_Part_II
3028 479 http://dbpedia.org/resource/The_Taming_of_the_Shrew_(1967_film)
851 492 http://dbpedia.org/resource/Basquiat_(film)
488 496 http://dbpedia.org/resource/M._Butterfly_(film)
333 505 http://dbpedia.org/resource/Tommy_Boy
510 509 http://dbpedia.org/resource/Poetic_Justice_(film)
3885 511 http://dbpedia.org/resource/Love_&_Sex
2279 513 http://dbpedia.org/resource/Urban_Legend_(film)
2751 520 http://dbpedia.org/resource/From_the_Hip_(film)
2944 531 http://dbpedia.org/resource/The_Dirty_Dozen:_Next_Mission
398 541 http://dbpedia.org/resource/Frank_and_Ollie
3731 550 http://dbpedia.org/resource/Cutter's_Way
3903 559 http://dbpedia.org/resource/Urbania_(film)
3875 561 http://dbpedia.org/resource/The_Devil_Rides_Out_(film)
436 566 http://dbpedia.org/resource/Color_of_Night
3784 568 http://dbpedia.org/resource/Mad_Max_2
3179 579 http://dbpedia.org/resource/Angela's_Ashes_(film)
3584 583 http://dbpedia.org/resource/Breathless_(1983_film)
2088 585 http://dbpedia.org/resource/Popeye_(1980_film)
1296 592 http://dbpedia.org/resource/Room_with_a_View
523 598 http://dbpedia.org/resource/Ruby_in_Paradise
258 605 http://dbpedia.org/resource/A_Kid_in_King_Arthur's_Court
3878 608 http://dbpedia.org/resource/X_the_Unknown
3672 625 http://dbpedia.org/resource/Benji_(1974_film)
452 630 http://dbpedia.org/resource/Widows'_Peak
3258 639 http://dbpedia.org/resource/Death_Becomes_Her
3805 642 http://dbpedia.org/resource/Knightriders
2232 645 http://dbpedia.org/resource/Cube_(film)
3733 649 http://dbpedia.org/resource/The_Paper_Chase_(film)
340 650 http://dbpedia.org/resource/The_War_(1994_film)
660 651 http://dbpedia.org/resource/August_(1996_film)
2774 654 http://dbpedia.org/resource/Better_Than_Chocolate
3779 656 http://dbpedia.org/resource/Project_Moonbase
1624 658 http://dbpedia.org/resource/A_Thousand_Acres_(film)
1464 674 http://dbpedia.org/resource/Lost_Highway_(film)
1973 677 http://dbpedia.org/resource/Freddy's_Dead:_The_Final_Nightmare
3434 681 http://dbpedia.org/resource/Death_Wish_V:_The_Face_of_Death
1815 690 http://dbpedia.org/resource/Eden_Lake
329 691 http://dbpedia.org/resource/Star_Trek_Generations
3303 694 http://dbpedia.org/resource/Black_Tar_Heroin_(film)
379 701 http://dbpedia.org/resource/Timecop
2114 705 http://dbpedia.org/resource/The_Outsiders_(film)
3498 708 http://dbpedia.org/resource/Midnight_Express_(film)
2469 713 http://dbpedia.org/resource/Peggy_Sue_Got_Married
1749 726 http://dbpedia.org/resource/The_Leading_Man
1487 728 http://dbpedia.org/resource/Selena_(film)
